donor,arbi,zksync,total,exclude
0x4eb9eabd74d2077cb2016a65a435cff7508a3795,0,27.30422291,27.30422291,
0xf51c23acd790e873514cbbf235ce46ec325fee16,0,0.19203,0.19203,
0xaade52efbe5c5f082eeb12582cfafc2c1f4fe883,0,1.73,1.73,
0xed440badee45f61d483d611a874aeb074d2408af,0,17.3,17.3,
0x0000000000000000000000000000000000008001,0,2.281919305,2.281919305,
0x6e2b76966cbd9cf4cc2fa0d76d24d5241e0abc2f,0,431.1239652,431.1239652,
0x77e26e901a5c4c81dea1f49e19d4a6176afa51dd,0,5,5,
0xede1b9f61d7c2ab306ba191330a92c2e16509a24,0,51.9,51.9,
0x6aec43dd76531687046c14852c621f8c04e8922b,0,17.3,17.3,
0x685cf003759e75bedd3992499f999f9b065ab0ae,0,15.57,15.57,
0x5079d75b368088afdbacabe4d01d04a1bd352ac0,0,10.38,10.38,
0xd9e894464dcac68baf9cddb702f647e2c7db8d7a,0,12.11,12.11,
0x83a9f6068bd3d8327d33cf2d535900dd40430753,0,12.11,12.11,
0x6b6185ed834fb73357ae31ca4f44a7bad3f24ffc,0,22.49,22.49,
0x0318f0197b92dd8058bf40c81781b1cf65abf63f,0,19.03,19.03,
0xb52ba587b8b27ac3f9b842dd2075aec1a150e1a7,0,5.19,5.19,
0x71a70e646b3898dd058b4a7b82844bc48cf2c8fd,0,2.076,2.076,
0x9bfb81092174a6e34c5d99ba984958a5439e309d,0,1.1937,1.1937,
0xbf36aa0606df17ec21f5b58dee6fe0adcfcbe78c,0,1.1591,1.1591,
0x1c749e06a0a8e9d9ea25f8b7538a54a94e19c5e5,0,1.919755869,1.919755869,
0xca9a4162799a271c04c66eccd96f49c0f57926b2,0,1.5993159,1.5993159,
0x15d4fe0dc801a460935f5aa1c9960ccebcb21005,0,1.399328646,1.399328646,
0x8a64094dc5fd5139929373a13f08c529477b9d2c,0,17.23018,17.23018,
0x42d3fee5eb93374af52a288b3b653101a9292306,0,1.323969434,1.323969434,
0x6571713d99a3e2cc44f7afd24343dbafc2a0681d,0,1.000665182,1.000665182,
0xfa91288b3033d095992cf3cb0b0e54b807c3c2ac,0,86.5,86.5,
0x88c7071b65962b65200f15c352d7cc538a7b3283,0,1.73,1.73,
0xd76aff67ebe913575a99b33b131386233b32c925,0,1.73,1.73,
0x82ffe9f8933e83ef6f95ea95ebb7160abf8723ab,0,1.73,1.73,
0x304e357fd64b9be874bafd83b6f98b26aae64b92,0,1.73,1.73,
0x32bad4e9696cc184a1ab296ea87e1be90ed1f9a8,0,1.73,1.73,
0x78ea7a69bc09525b6eff1b61e5d128f6d10db47e,0,1.73,1.73,
0x4a20afd9b260785e6fe7bb19466913417b84394c,0,1.038,1.038,
0x401e52d42b210c45a0077318bee8b8ecda7ae585,0,1.73,1.73,
0x9fd528e314ba5bd63ccbbb2663eb818f4720838d,0,1.73,1.73,
0x0b74874494e4b8927d7379e207ddd36d3bf950a5,0,1.73,1.73,
0x167167b0072c0c4f2f4d776b7092e77cc9282550,0,1.73,1.73,
0xc20fce5d4b28bc84211db059fb753eccfe42d005,0,1.73,1.73,
0x22dc0db154d915666dda70503e439b53c05eff5b,0,1.73,1.73,
0xd89d8bc064d48e22f7c8bce6e8ba0de34c96a71c,0,1.038,1.038,
0x395e92810883e0d88b3b57cf178159cbffb9e478,0,1.73,1.73,
0xb8e02ca4c264a1983fbae2814d900adc85a5f96a,0,1.73,1.73,
0x2e50176d2adb6926db1ad7ce7899f588b7514ffd,0,1.73,1.73,
0x2f0d5918af0d12631df3fd45270ac3153c48f38b,0,10.03032288,10.03032288,
0xdc81300733a70bb7b719b3e223f9ec69482df3fc,0,3,3,
0x861d01957ccdf3d44ed96f24ed5d58eb066413dc,0,1.74487152,1.74487152,
0x05fcefaaf22e6483ef64d557b2b451447228fd1d,0,1.45386577,1.45386577,
0x149e00acd1a980347fabd1223be2374dc07af800,0,1.043898024,1.043898024,
0xc4a2fe5b6676d9393335317404bbad4d0082e3d9,0,8.65,8.65,
0x1071848796f34b81f0e477a5ccb6509d7fe044c7,0,1.164651875,1.164651875,
0x0d5b3e5cb73931f2174172a74ba36478e4698312,0,1.385654753,1.385654753,
0x6b53d9c0dd12e64c098d7d5f4b39b531fa1bb4be,0,6.92,6.92,
0x35596b5fc971b467df0f8868d0458fa020849b63,0,5.709,5.709,
0x6adbc071f1dd01059c280646dc3425003863a514,0,5.363,5.363,
0x165d5fd72857cff727186303a63c857c07eec762,0,5.017,5.017,
0x2fccaba5519d4d04d2a3cac2ca85055e9b05a80d,0,5.19,5.19,
0x607e65ff57c94892858b55f333498be81055aa59,0,5.19,5.19,
0xd137904658510a418c8a0d2079a48cd33b9bc88c,0,6.92,6.92,
0x76f1450df0d280d5e8c18b053940b5c82d6efa50,0,7.612,7.612,
0xda4238d836ca05f504f51c662feee536b924a84c,0,5.19,5.19,
0x619bd618cd84a5ebb4db973a900eb774c48156b2,0,5.83425027,5.83425027,
0x58feaaa861b8c6c169a642241a9416ad9fe8f7ed,0,4.7129179,4.7129179,
0xe3acb6c879f58149f5cab6a50d6d369487f5ba99,0,6.4437829,6.4437829,
0x426340d9bbf7c4cf648649397381bd9720b5bb1c,0,6.92,6.92,
0x5ed2ebeece2d952f21138fddce70ed09133cc650,0,5.709,5.709,
0xd6026d9b1d524a86d3ca9455ac8cdb62b34f3b60,0,6.92,6.92,
0xf8550e4ee09a22ae4ad29e80fa787d916404bdb5,0,11.418,11.418,
0x98214d02ea1abfd76efc90f4df53570c3054bfe8,0,7.612,7.612,
0x517cf66d9e94b4a1315b0fa5302b403c6c3d4135,0,6.92,6.92,
0xfa245cc570d5086e4312cf5e159f515d07c0e7dd,0,8.65,8.65,
0x76ce075e6ccb713099dee965f4124fb204c741ab,0,5,5,
0x3baf04a1daccb03f4806694cf1a266e1c4df1310,0,10,10,
0x1d5c41dda161071f7c8a80141eefdae10ed82915,0,17.3,17.3,
0x29157023e721a84d0c993a885ebe8ed62f6e9dbd,0,36.33,36.33,
0x1e9e0ea76bf97fbf4a878535baef47a390504d45,0,25.95,25.95,
0x728d21c2d1d89127b679aa74de5b3c0cc28d97c1,0,34.6,34.6,
0x747a342a03eef66b13c7fe7dbe586f2ca966bdd1,0,22.49,22.49,
0x6a98c255bc31926fe01003942ed6c600be0a8633,0,19.03,19.03,
0x8ed1aef4082be74fdedf815053ffd63db4cab49c,0,17.3,17.3,
0xd9ec4228608107b6eba041afceb7d7e5fe6c537f,0,34.6,34.6,
0x31e3c86699dd171d65603d303afdcb35c7d7d0e0,0,86.5,86.5,
0x2f354ada47174376a144b74059551f6adc6b1427,0,1.1591,1.1591,
0x9e4f16efc265bba75ce4051bfc5b6d3259b11699,0,0.11418,0.11418,
0x68192171d7b4977dca44f7ea5703866e038676a0,0,1.211,1.211,
0x6c8cf69400d769918d3a3ccb270cd28255b148dd,0,1.1418,1.1418,
0x087bf57afe65384bb1c3bc0c3c437bb5a90bb747,0,1.73,1.73,
0xa2da61904f8927b64d349a201b0393c7d0b7a59a,0,5.19,5.19,
0x774ad826a8d6ec9e0caaf31ea93e05569de37c17,0,1.73,1.73,
0x17236f68fc323f4b9948f9e2680f6807c0e78130,0,1.5,1.5,
0xc818c421ba222651c98324ed2f0c4c40b7c3cfe4,0,1,1,
0xaf96eafcaf090788f698bd0ff550dcf76bd17b30,0,1,1,
0x0ef2acc4b9e31a4dc5a0f41a365a27bd3a46589a,0,46,46,
0x5df1ff52d856cbe82e2d5eeec7d9d0fa03572674,0,5.19,5.19,
0xcdc35f0b9596daf93f64180257e6cb48f2a21d9a,0,1.211,1.211,
0x8c4fda9b50683c074f466fe08b83d8b618026459,0,1.096209743,1.096209743,
0xdafa7e9644b3bb421e22524cb49f864ea6c7743b,0,1.738935919,1.738935919,
0x3738ed3efd66040569ca8713f6285f3be4f495f7,0,1.214894691,1.214894691,
0x2d006ea90e3a6c42fe1e031a3800bd031dd4f159,0,1.907154586,1.907154586,
0xf43537c17f3b23212b3252c9aaf03a46c0817428,0,1.545996321,1.545996321,
0x6381101a1878cbeb1e6103fbdae8f24755510b1c,0,4.009711382,4.009711382,
0xf93f775eeb76e69aa76b6785c2dcf16303fe277d,0,5.210752825,5.210752825,
0x7c6e50f2a158767a817e31986783d40a5f0b6805,0,4.35321061,4.35321061,
0x001eabec5ae0e4dc40aecd9a75a6377fa0b31dcb,0,4.012175678,4.012175678,
0x1dcc9483e69c8b99a957e3c3ef821dfb7b53a719,0,1.291851903,1.291851903,
0x2e9a52c0a550e7b52b5e5d3d7cc06baa400cd3a8,0,1.61189141,1.61189141,
0x2cee0c1eca84e02a75ca7b132b3b8e72402dc113,0,1.431191281,1.431191281,
0x8f89b817bde831afdf2103e6f1b89fb592d47b18,0,1.181523004,1.181523004,
0x8a721ac3e4bc671427fc362ddd948051e41e991a,0,2.994058062,2.994058062,
0x3660dd61527924fd3ba6f6df45a1e78f1497fce0,0,5.105784588,5.105784588,
0xaa0445568a566fcd905b49ed6d91a47edd15519c,0,5,5,
0x29dc70f38a745323d06e13113878bb552a72a5db,0,0.75,0.75,
0x464e146614d53b675b74cd04d2d727b2c04aeaba,0,10,10,
0xcd44cd684d4b2fb0f33a57937f3ea9f62b7ad6e0,7.4155524,8.2348,15.6503524,
0x60578f91cc5ad3d247eb6d75e321f6ae23d8bf91,5.570368,5.8993,11.469668,
0xec6ee166f18859bb4568470d05ac0a8d3cf6f658,7.11440438,7.1103,14.22470438,
0x6b85c748c313ceb7adaef404c403518cbacde5bb,5.22396074,5.4149,10.63886074,
0x727e7b8f0beae027cd4b86e03cff08a2db1b1d70,8.7385148,7.439,16.1775148,
0x628db6b51baf37c03b2bff301ae93d83b9638cd2,5.396294,8.65,14.046294,
0x1ed31e551726ad7c23a3860e088f60c1b9025dbd,6.96296,5.19,12.15296,
0x7a38b009f9e176f07978c2e75bab2a5b657ca37a,10.44444,10.38,20.82444,
0x3785955c2243d995a125ef4be144f9abb8877305,0,5.19,5.19,
0xd7df8fb4f1462dc8108759902852292462a213b1,0,0.865,0.865,
0x6eb9d1299fdbdb4aad43c57eb576edbf6525d206,0,0.865,0.865,
0x3ce204cac6911ada66f5e55a7df1f2098b78ee89,0,0.0173,0.0173,
0x885ecede5be82e2f72ddd89b2407a50599d4a9b0,0,0.173,0.173,
0x14e2154f059c807c4264659a5f17c30775d22eb5,0,0.865,0.865,
0x269e9f8d3489e566892287f4a971af90ab12c010,0,0.865,0.865,
0x48a0546bc5a0a16acebf285114e8f6e6563facd5,0,0.865,0.865,
0x70556dc1d0829869b63fac10bb195254abe066d4,0,0.865,0.865,
0x6a360d86d1eb176403b38966e79a7ba5826c055f,0,0.865,0.865,
0xac7a1b6e1528d364689f9f7694781bfaa0695b23,0,0.865,0.865,
0x03725af1b7357c622c2a91a28df41d8217941180,0,0.865,0.865,
0x3522ef07467b854efcd3a1947b5b4bc2f38bc6c4,0,0.865,0.865,
0x4908a7560640a44895450f63256a437a213a02cf,0,0.865,0.865,
0x41a48c324758f9d5719b820a75b73b9ae51986fb,0,0.865,0.865,
0xf1a5d4a3ca71336abd7e4768477915bbef9cd376,0,0.865,0.865,
0x5d5585377233162e0ca5df284b5d0063f7758148,0,0.692,0.692,
0x0ccbcb100aed4958df4a940358e4f350493b9604,0,0.865,0.865,
0xd026c30895def897de745631c6b22ba53721d62b,0,0.865,0.865,
0xc2fd2458f0998254fd19d7648b157fc7ff1f675c,0,0.865,0.865,
0x72d7dcc7e53abd9340f55647cddf5666016f2bc6,0,0.865,0.865,
0x3194b8157ce1243dd8a928433a240862d2eb0fe3,0,10.38,10.38,
0x461ab30aeb724b004ee914698580ac8771872cd2,0,1.73,1.73,
0xf9639837e55f38a94411cb74d74a9d29132136b8,0,1.73,1.73,
0xca5e06abdb77a1cbcc556025bf92a9c9087c96d3,0,0.173,0.173,
0xfb1c7679bb9da89b4e3a5f505356fd57ba359d93,0,17.473,17.473,
0x305fa906c38a5d5978962f77ab333af5ac648e56,0,4.982747596,4.982747596,
0xf902a1c5815b57e7888dc93842dbff8f3d5523f6,0,3.46,3.46,
0x68992095bac9346e6644c931a7b0d1a1f828cf85,0,1,1,
0x5ab5b8c57e87a6e2e8257c57d6ba45a84b8dd81b,0,1,1,
0x6665e760cfbb43020c6221885e449b65897cf009,0,1.038,1.038,
0xfec6d684fde28eb720ed339c305668b73ee0b60e,0,1,1,
0xa1bfa44ad35420ac6e294d74f6d90cb4f6a3d4aa,0,1.73,1.73,
0x496b462758295c7cb7524ec041d83a252fc39549,0,4.995553091,4.995553091,
0xb115023a3098bdc73251edfffaa6b70b79ff814e,0,8.615219,8.615219,
0x242338695f2aca89a68e313b6e1226703b581397,0,5.253836,5.253836,
0x3c9298823b49e72054b8cbca3ea9997530eb7085,0,9.479066,9.479066,
0x8d0cb70b32dc85eb4c8cf163794275cad59c5667,0,8.614549,8.614549,
0xf5f1502457801141d0abc6e8e83e9c5511976966,0,0.173,0.173,
0x7b5ef3cdd3069e3dbb55c2d18f864f2fbe9dc386,0,0.173,0.173,
0x8598b8ff50609529b89126ff0a56c9d921485739,0,5,5,
0x71cbfeed12e894e82d7cfd14107240c48941b3fd,0,0.173,0.173,
0xb5f85818c56ef394056c264df1c05a7ee3afeba9,0,0.173,0.173,
0xd7be057b4e48488d822334c22ff92cb1600d4b09,0,0.173,0.173,
0xfb63eb5d875740e54a183ec97b47f19452d5dca9,0,0.173,0.173,
0x29bd39845303fdeed2f2cc3f026c60d960bdeb58,0,1.73,1.73,
0xf9da36dc5b3767ecafcf1b2f612eed503232fe23,0,0.173,0.173,
0xf6304e66f946aca8e34b6568d74203ff026e74d5,0,0.173,0.173,
0xd745db27efb5cfb86ee62b53015ed18d7fceeb0a,0,0.173,0.173,
0x1e33835d5cac76e62ad392cc67a49c2ddf104b93,0,1.73,1.73,
0xd06b6330f9b0bf0c2d48976b4a723d647979cd76,0,0.173,0.173,
0x4752336751fa80b39a780d386cec77167467c915,0,1.73,1.73,
0x5c8a3562a669490ed182c335eda1da93dd3cc963,0,1.73,1.73,
0x1ecd560bb663c6e8eebd44afa3e571e504bc9143,0,1.73,1.73,
0x0f3e6cc9a1d55f13b0391354f22d64931de37d7c,0,17.3,17.3,
0xd57636246d64ef308cc55d7ed3fdc80624f213a1,0,0.173,0.173,
0x653089836f2358cc75e35f55c4f2a64c4230f555,0,0.173,0.173,
0x83f5926f4701cdac4fe3e57830836b830ff6653e,0,0.33504391,0.33504391,
0xa0afef53f4fd932693df99298a12fff028081460,0,1.73,1.73,
0x2f725fc2dc01c7737502fb40b5bb3aa6e4d13d6b,0,0.458104,0.458104,
0xc9d74444af638c03838a4f73888b99d36ebc7a1f,0,0.173,0.173,
0xa92ccc65246bf537e291bc2fc378d44421d72370,0,0.0964648,0.0964648,
0x609ea81e3d792a08eadd6ba0612b88aab651708f,0,1.038,1.038,
0x2772e496580d1f60a810b0309ff10f0dd6dae4f9,0,1.122449,1.122449,
0x51bd93f785a6c1d3a68def2f34680b4a3918e123,0,1.0553,1.0553,
0xf25127fbb921e5d4620169843bceaa794f5a73ed,0,1.0726,1.0726,
0x5e8b302e8c8c54a0e5678a3280f04b1e5c0f1fcc,0,1.0553,1.0553,
0xd2cecdde9870f9222983669c19e93cbe6af5e9a3,0,1.038,1.038,
0x1e48a5d04417cdaf3ad6c6341ec42c624bf20568,0,0.346,0.346,
0xada234b301542d18d42ea7b11b405994f638e655,0,0,0,
0x1d6ab9d232fe71c298a8b87a4a1a44e23fa807ad,0,0.173,0.173,
0x0a038d056aea157d100688cfcb89a291738f0a2c,0,5,5,
0x5f3ca89287a5bbf2b15655eb627888fac1bfbd9e,0,5,5,
0xab86d07fee59cd0449f6eacdf18ae1631203077a,0,0.173,0.173,
0xc2bf6d88516be9407be1d59ef4b838f839a6a896,0,0.173,0.173,
0x25717ecf4a81cec7ec96730af3e1c3cfcc1c44fe,0,0.0000173,0.0000173,
0x38dcf76083e3bdb813b687296886bb39e722ed85,0,0.00173,0.00173,
0x4ce2a8bb0286f8ad4aa361c8212eaa8b1a3f71d3,0,0.2,0.2,
0x1ed770c21c8a46562a0cc57e42dc105c45f85fab,0,5,5,
0x9a08cdab22868549eba7973873bccb7f7c7359ef,0,17.3,17.3,
0xfdaa4af4311d040e48584c70bd59a1ee7714ff4e,0,17.3,17.3,
0xc2573bde3304a7a27aa3da6b58cacd0bd744078d,0,17.3,17.3,
0x4ec3915b5fb5a18d06bcaeb612559a2f0cc58d28,0,1.4186,1.4186,
0x60dbf8b7225373686bd7e8f8803970700829417b,0,1.4013,1.4013,
0xeb5724cf49669fac55026960111126072b0bb138,0,1.4013,1.4013,
0x571470deed404c5d2ef3433781c98611b2a8a70b,0,1.384,1.384,
0xa275aeb718c4d1c7e88c43cd3dbb5336874da9dd,0,1.211,1.211,
0xf911fec3e8179d422a3c6a3d355cfeb036d6669b,0,5.19,5.19,
0xe222913573f61acd28e55d24abf23606e3f5cb8c,17.3275,1.73,19.0575,
0x611e8876e41251514a17694a144a93576df43875,0,173,173,
0x52be72def33bb99f08e215555f42e447cabda069,0,1.73,1.73,
0x3145eca15df2b76249283b13d1e14aea69ea4ea4,0,1.73,1.73,
0xf75d7d9aa9e4f42d262e5b9c3a7e00d424699aad,0,0.1903,0.1903,
0x359d1cb8908c33b8fa3c5840c18c607440d9de47,0,0.173,0.173,
0x40a3f86d8c9b68c2545feead4221c0cc265f4a40,0,17.3,17.3,
0x2bc68270d6c67cb21cf3e176afe97e378492a023,0,1,1,
0x484d30b10e1c4e23e866bc8ca82519341f8ef266,0,0.173,0.173,
0xe30fad7dfa60d9ad0c333209f79a3d5b73e3434d,0.0691828,1.7473,1.8164828,
0xbe13517a2b520b2449068d2ec45280992b04047b,0,3.46,3.46,
0xf915e42d282604abff32ac0921fc5989a4cbf5b5,0,1,1,
0x63cd89e59d2f4d3fccc2b00483e58b2e752470b5,4.197070588,10,14.19707059,
0x51910dbb78dd531f0171c3438bc8ebec1d1ad957,0,1.73,1.73,
0x5fb6a44f6b1fd883cf3d1e6b55722900e76c6621,0,1.73,1.73,
0xfffe12a673164358dcc9862765543f067b07f8a0,0,5.19,5.19,
0x4e239b011f5ae87a47a075562cca78d0b7170677,0,5.19,5.19,
0x0fe9b6701623a745a7418599eb6879f6ddb24512,0,0.006228,0.006228,
0xfa0b73813c785116d9e1401519cf021b8da70426,0,0.009688,0.009688,
0x7191c4f2b426ab95e2ddda2f5e57a0b35dedeaab,0,0.0040828,0.0040828,
0xa0859d9c3e05a2e91a2eff5cbb6679a54a40a37d,0,0.004325,0.004325,
0x8fe41d89c8b2a9231f79190b32bd92ec31b511d9,0,0.01384,0.01384,
0xc30ddbfb56808bd2e14036a0081745a6dc5c5fa3,0,0.008823,0.008823,
0x87ed8459a676844785d96610c839f25f87e14cf8,0,0.01038,0.01038,
0x0c31561a5b32d9dd6b6dc8e309780cde5474a6fe,0,0.0044634,0.0044634,
0x867bcd222c5e2e1baa4ac06bb619a714d7cdbbae,0,0.00037368,0.00037368,
0xdca71498d0660cd18a9737f1978b19ccf75e2057,0,0.004498,0.004498,
0x9bdc0a0bbb566ba2de16e63f55b31db1b580f7fb,0,0.006228,0.006228,
0xbd2f3bc2f7aeab7bba20e69018a84f9c034e101d,0,0.0173037714,0.0173037714,
0x39ffb266a58b88eeab3cd3ff633e9d33059b4c7a,0,0.00521595,0.00521595,
0xf4de6e19b30f3efeef30328ea1e46e29db7a56fb,0,0.0052419,0.0052419,
0x88aa4913f5cd2f70eb34ccd6a380096a38457566,0,0.0035119,0.0035119,
0xbe28ff6bf1adf9aa3084873e0aa20838b1910c40,0,0.0173090998,0.0173090998,
0xbdf848b6bfee19346f7baf4715fb2ef637b0fd6f,0,0.01730379389,0.01730379389,
0x0e7bdbd1b525fff54538cf09b3c8d20bd2b6dc0b,0,0.01730436825,0.01730436825,
0x90e9749dfea6cc759a30252817a3415ef53b363f,0,0.01730036849,0.01730036849,
0x88c0d341a415448a117b7b4723f729a5b9d734a0,0,0.017304498,0.017304498,
0x12e30d2b71a4348e83dad979034ba455c4ebe064,0,0.01733979,0.01733979,
0x88bcfe76b05e77bd9d43a4f3e1e3ea4ab27f6f06,0,1.73,1.73,
0x6a00ede77d60eb8b669890ce94bd2a2830ac4fd3,0,1.73,1.73,
0x6a87066a1d93feeb2479014dc79e03f31d5721cb,0,1.73,1.73,
0xe6fccfb5ac55a6a9109e404aa40e9ca67c814b07,0,0.173,0.173,
0x0f31e326c3e715f9513d0085b47728ed7516c724,0,0.2249,0.2249,
0xc88eb6c8a25e9cd671d04f93793a27621abfa998,0,0.173,0.173,
0x356329c1d7aa4b3e8754fe10361f29d98951e857,0,0.003514668,0.003514668,
0xa3306bf2c8cdb9b1ef5838d17aba255cabb1658a,0,0.003515533,0.003515533,
