donor_readable,donated_arbitrum,sample_donation_transaction
0xb2123a9cc23e2f75de9f4571120b7a2e3b358f2e,10325.460000000001,0xd60fe39875892a08b17b92ff6d225f5b93bab597c9409d8d915c3f0fca96699c
0xb38e8c17e38363af6ebdcb3dae12e0243582891d,5077.070151986081,0x01c102a5d85c87fac35a5ec0b6a52c087f178df6a62565c418ec12af5e2e72fd
0xc6596474e61aa237162f4128940d0945a65861cd,1184.4813742993015,0x5ae45a6a6f162a69480f31d6b18e512e662cccd1234109637e875bf1b591592c
0x263397a2559b0bd4e0ef2c7d4195a53f0ca58b9e,1028.1380308237635,0x4c8701fed01db42db24f9be5676f0dc7b683d10d80594e6d720082edd6f1ae34
0x0cc79c54c36794fc414a16d6cb128b470b9d1db1,800.56981133237,0x6800e952239c90b8d7e2e84dff0a5eac0eeb2276351c2cb2e18e6f11db911ff1
0x4a208b704e20f8f7881d68bc34339f63f48ace88,588.4448000000001,0xc611befb876d4bee25c34f1a1e5e641dd79b68ad208e09813587c2d089afaf0f
0x8db62670724849729d9e9def76708b477d2c8c48,501.029559,0xb699062da2d1cf8b5340f75ca229ed2bbf62b88650778d37a66e242f2e7ffb59
0xa521e425f37acc731651565b41ce3e5022274f4f,499.38297835185364,0xbb60d7a8faa56db133d9485dd7a636ed6e25bf7b5615aec609c2ada7e467df22
0xb81167aa38a07833863d13b6d5f52dac2aee1a26,485.70273000000003,0xb5933f26c5b45de6896742a4e1aa771968d46ffa42549fd947fa13f164b1611b
0x21e23e40621ec4c0df4bfc017d0b0e7019cc91fc,347.807776735225,0xb37ddac9f12130376d3e526b1e311cd9109d3f3bd3ac70561299f77ed7dcb895
0x9e366e32b067a15a359c2c63f961ac8405cb8e2f,343.93800000000005,0x39102ea424404247e3ba20402808d11e5b49490728e9cfb4575ec55d589a791d
0xf3f51e5c94ed04b6bd85034ae9be30f76abb02d3,340.1003,0xb5e701ee92e666207fc6f42594f999457628a9b633fd685dcc68f1ec51c74a9d
0x2993e1d02b11377f44455aedc618c705acbb0591,300.26009999999997,0x9e18e4de33e765c82ecb7449dc9eb35f57b651e522055011b492dc404d811b10
0x358abb5b95f814c833746a2d0e98bbc227cb6e3c,299.75098099999997,0x1c9cb13941978aed41f6e4f6cc87e18045850e8edc01e5badd04fce12ce302e7
0xefd9b7bb81c310b8899db7f4e33b72c5a6e24923,280.8315,0x3f45cecdb03247e79464ed278cfa6a2644aed90f1af0ded3b6c635ab46ded3e9
0xf89d7b9c864f589bbf53a82105107622b35eaa40,248.82088570000002,0x2f221c72f0f91f84007fd6eba0912bd7f398160e1d2ed99f0def8c7de53b2949
0xaff4ceab5865e8ae8cbfe405669b6cd5bfbc9dec,207.89940709028602,0x289d9c7586a3241a4fd84916edea5754ca6e326a76f0eb509e1c2ea89249ad54
0xf2cc0c49d63706c9b738f38e91f65618ad3496e9,200.51456862835798,0x897ee561b8360200b3cc5bd59a103529b2a242490fe713b93628f0da8b9f5de5
0xd262d146e869915444d0f34ecdaabab5ab43007e,200.31699999999998,0xb1300a315ec11eeffe8d37d1ff3302d6204675d00216ac85d83d1955a6f01757
0x35aa3f733958b7416669303945093c98819f77a6,200.1838,0x1d19810f54984e55069f8a1dfc08521fc10172f551e15aff880e092b767c6331
0xf2403a773c6bc831aafe00c17d36e2a615f375e2,200.1398,0xfe1029e1e4a2783768043f95fd1989627945dbcc9c809f14ea18b19efd066d7b
0x53ad76dacfade8789684aebb5dc3f7e079bf8596,200.1222,0x20a30a67affaa9319dd4863d11a2c54221f0c3cd176b4c919ae7e94962d300b8
0xf6ba1a0d29214822b18ab0feb527856832a34e93,200.11040000000003,0xef1c50f936056158801a1819e9123a00f444c62f8b23ecac0724f8a7833c2dba
0xe6a6ee4196d361ec4f6d587c7ebe20c50667fb39,200.10780000000003,0x4769ca5d1986df983b1d855ae386b8f400ecc01ac77372199e17f2144b79a369
0x6e70177a37980017767811f8d00a950fa26d6b84,200.0848,0x4d06e21e65ac3580b463a1e27ac5a0e7c93010da395ba0080ddf5bfb871b41d6
0x90ff89c637fd1537e151b8ced1d1d0cb94e31ca6,200.0504,0x9129ad706370c43f02a4dcee894e6728b978b71df220f99000b6e6f0e22b80e1
0xe0ee80f8546ce8ab232f000afcc61e4ebeb4d14e,200.03042000000002,0xbc4ec942a9650fcc06928989ab83d5510e2b88d6991fdbb4553ba9e9932fd0c0
0x2880a6bb2cd1df6e03dc8bbfbed009de586c2603,188.45932040270998,0x898bc4556b9c03d1355bac455d02cb199cb7ee856695eb1e868dd9fd7cd01734
0xbe27e7373ea20b7bf434ba74a94e8b887e30613d,172.77,0xd1c45a52ac449b785d2a7f947fc7ba8113ab39b4b74d5d4b147e5bdcef9bc170
0x364e2aea672a791eb516999f16f510b92699a98c,172.472,0x2e32acdb650543c800c38fad33c5a07d7e45b06f5b64085ed4991620a9bacbc7
0x3dba664efc6a82d234f1332d92bed444c431ec51,171.955,0xb59af337b4b93cda91c11fdf8030217c26625eb96fcd9bb4cfbf92b0ed627c41
0x71a15ac12ee91bf7c83d08506f3a3588143898b5,171.94600000000003,0x8316a9557c0f282849a3b5da4868b242fbee7e520468bfbbc8bd533f8013fa22
0x6018887da486cdfed5baeebfbd1fbbb34f94c7ac,171.912,0x41b3e208ca0bcb97c82f969c450eddf3a913026d4a5cb73975a0ec1bd9934421
0x14a44d92c24bce9c05a7650ec5df15e61f01121b,159.767908658406,0x3d933d5bb2cf01c32664381d2d853c311115294884747f96255f3f8e14949229
0xf7b10d603907658f690da534e9b7dbc4dab3e2d6,150.1518,0x7ae184be2ee59bab5e14f9b207b0b6292550f8ebcde1dac1ac50ea0285db0814
0xb6cf6ce254981ac02d6c87598a2c4f1367e78ed9,150.05295,0x29c861a2de3e7caeecc84158e357fff79a9124ba54271532a5255fa8b9d05bbd
0x35174170fa8eb5f09f6a34ee9bafd5c0fdbfc792,147.2673,0xcde9d96bcc9db4711900cf3c90e0c62f32136e2528d3db8cae8b24722dfcd1f6
0x476ef21bf2a28e59a3605d1854a1b0a4c87c5296,147.0925,0xe13c0dc85d9151898f5297a8656605e72b655e02bacd876af1ed2b81f722afd8
0x8697c36fb156c491a28498098d1218ab1f16e3ab,145.17863999999997,0x8c2183d149c365c58334c106b53d18f9793f09ad6e79275962d3ba3a406ab4cb
0x3f291ee5e2e0110eed320ab848cb86b00b96d37c,139.54756174130017,0xa99675ae6431923bfb90b857c7a5b4c85367497e9af98a904eca3a0965d7be8a
0xdffef5d853e5e1dad3b909e37ba2dae94087c3cc,123.52340697599999,0x96bdfc8e1299dcce4fd4f5f2f14e8c33b880f296965536e6eef38ef056d0b31a
0x1af56e6ce4f72765905586fa567b09ca4813c28d,117.07632,0x054d1e6b037b086767cb4f91b0c2120443d983cceb76c0e5b5af11be33247fa9
0x45c98106503effee78922ba0d36058824327b8e1,110.01056000000001,0x5171b7b5ee61e9ec17d3beaf9212655c5d2024f1f3638fff7027b58b9302fe9f
0xfae4d3be88e41950a793eec75b3494cafd687f9e,109.7537836531,0x84741104fd2b537d7e13c5b5e327799776f5f746f253b97ed5d8ff73d7b25310
0x35ba927021b87006dd5cd95f807e745b50d00eca,108.617828673341,0x62d5d8101207fe13beb69f82a0393c5ed30d02be278a9fcd7eb33c1841bd80c2
0x141e3197642c764bef5f19f0b22a6b52c80f5ad2,103.224,0x67368b8ea2b21ef4c52e1aafc4e604fcbecb5e4b0a9277652c02c8ba2ced21db
0x6d85e6957944532911083882d352ec500bf52771,103.1094,0xde7dff36cb5dedebc76b25a078d9dcb218944dc8fdccb76a0b5bcabbbf5e2209
0x5181cdf1bb20da04ba788f82989f29e65b67314a,102.10648800000001,0x3d4426ea25b7ea9cf2fe8f096d255d774591a75ae2924b1f76bdbab639b24968
0xc1228273c77a4939bcc42a0d8f7b0077228e7f3c,100.22902040139,0x4d7ec0aa6cb6ba44d398e445c7e803c9d6f9d1754b5dc6b6ef2f5eefc7a983e0
0xfc8333829a69d922b9d691f4d76185bdf4f47642,100.13049999999998,0x5c94888eaddad9d4570bdc360073cbd13bca9646dfe3afdcdb972671187d22f4
0x70924482fd908923c8a7bc3e4c24df76561ea1ea,100.099951,0xc852450afff097f26c2a10b94d2a4568f9f2c79645c43a1e786037e5ef0c5ea5
0xa60aadf62907bf06dd714781d44bbd4c2d783259,100.097,0x2b120006906744abfcc7d572f18beeb3c91526c07089acccdbdb3df801693a1e
0x328e0a007896a4e92642bc7844e55845919085d9,100.0962,0xea0be93aa9722149df31d541b49d45815500b090eb9eac91e495127905e5b4e8
0x81cc01fbda24f6e99a7fa8812bcbbf2a454ba612,100.0765,0x1e2582234da1d1899a163f8dd21943c503c88b2d09f493b0ddc2348fdcb86462
0x99ed04c212dd3929e9063bd78b26ef41858cb62c,100.07600000000001,0xd55004fa2a1e3b9cad6a079b38fbdc861d80235b56c6b5c131a80fb0ef4ea794
0xdb52fd636cebfef6a8a7423e1b335f244d99a603,100.07060000000001,0x32ed7729c20dac751fa925795738cb0230a0994e8ab6882119ad2142e6d06f9f
0x7fa77093e83c9292c2357ea799ac2c57ec138203,100.06779999999999,0xe3d957a26d7c6692407b6b2f2c6db427c49cf2c1fb0ded69b371ac4cf414158f
0xd21b6b2ae0254060044024dc7e6929e8e08f07b9,100.06710000000001,0x79bfd540179078eb2e532bcfca9509aeb350615fa4d1290ef36a3f1eb717a862
0x09b3eb5388857304e3b98c15f74eae982bca9ba0,100.0617,0x85dc619a34d7671713b09bbe9f22845ffe384aa3fc57a58ab95c3bc3c161e59a
0x5fcb7f43222822f319845d542c59c19372fe1299,100.05669999999999,0x5a8e344bf36f4201ea5b3e1918f630ed4ec2368ccaa6485b6acafdf46118df35
0x62b979923922045fb5a77bed9e0753941b1da52c,100.05599999999998,0x83f56a686cc9acb3359b6c5fe0a163ef78c2914a4a6e5bc17f154b25e81d5008
0xca45a18f462c61c3b972b4f8734919122cd29ff8,100.05550000000001,0x648b85f8b7c6e195b34a233d1b0bfcf5a6a31c9159d1b1bee79661fd0bcd8021
0x3930ff400fd1bf12012b62034d5081436f5d4c0b,100.0523,0x8506dc2ae248984e0303f1c413d001de35763b6a7cb82c1cea5ffcc9ad930c4b
0xfd7b50da848f3e3263cfe7f5a2de23530c2cd9fb,100.0144,0x6145643838418cbca2e389cdefca69e5888ebe274fc518fb5c36286372200c95
0x2a588d1161468772d19fadbe0485c1f7a69add09,99.99510000000001,0x51d118d3ba889fdffa39d6514cf2e6d8be83762659044a22ff35a09a7ecd722e
0x7f2204f49157651f314395f4703622e3fdc8df4e,99.98767138000001,0x5866f5fa2996cbd8056fd56e07f34e224567028ff0563998e9bee3e29a704a88
0x07eac6dc2af876d2f0402f6804cc6ceaa0cd20cd,99.9819,0xd5b0c9e2329ab26fb2badf2eac8a81301f9e54a9e108f8dc1dcc0d7fbdc75bdf
0xdb4808d83ac009e903741d2f39de6e63209f3df2,99.9325,0x32a3065468c0d0cf49b30ce65be60f4112096d9b735874654d6adb763c6a1fc3
0x19d90c851d0b78ec2e0156c37c5251c363a3537a,99.9291,0x04cd75c88c1b766addcedee909416e09acb0217b39073f8f1ed9db19c29780d2
0x8d3b44bd33a5e8d596c7532bcabcdccf53dd4f6c,99.67135071070801,0xb6d98cc8e65894d3b36295d2d190bc56ea3bbaca16356f781c1e554f18eab252
0xbaa32387bd55553ec806622d524b12bbb8242a19,99.09336409807,0xef2f2fd415e667e188225b6418520c8e8f510f1a7186866b8c48db3407ebe42e
0x7e37a19a0cb97bbc9838eaba34c572887bfe88a0,88.24122,0x2a8e5c48b1b46f12a20e530dbac59db74341782f8f0b1c3afe9288bfa7160fff
